MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
BASIC NECESSITIES (BN),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,2025-11-01,OCTOBER,% CHANGE,PHP DIFF.,2025-11-01,2025-08-01,% CHANGE,PHP DIFF.
Candles,GLOW Esperma Candles #5 White,Glow,10pcs./pack,NO SRP,,,,,,,,
Candles,GLOW Esperma Candles #18 White,Glow,4pcs./pack,NO SRP,44.75,44.75,0.00%,0,44.75,54,-17.13%,-9.25
Candles,GLOW Esperma Candles #24 White,Glow,2pcs./pack,NO SRP,,,,,,,,
Candles,GLOW Esperma Candles #26 White,Glow,2pcs./pack,NO SRP,165,165,0.00%,0,165,165,0.00%,0
Candles,LIWANAG  Esperma #03 - White,Liwanag,20pcs./pack,65.78,62.25,62.25,0.00%,0,62.25,62.25,0.00%,0
Candles,LIWANAG Esperma #05 - White,Liwanag,20pcs./pack,88.05,86.75,86.75,0.00%,0,86.75,86.75,0.00%,0
Candles,LIWANAG Esperma #06 - White,Liwanag,4pcs./pack,NO SRP,,,,,,,,
Candles,LIWANAG Esperma #10 - White,Liwanag,4pcs./pack,NO SRP,26.55,26.55,0.00%,0,26.55,26.55,0.00%,0
Candles,LIWANAG Esperma #14 - White,Liwanag,4pcs./pack,NO SRP,29.95,28.55,4.90%,1.4,29.95,29.95,0.00%,0
Candles,LIWANAG Esperma #16 - White,Liwanag,4pcs./pack,46.42,44,44,0.00%,0,44,44,0.00%,0
Candles,LIWANAG Esperma #17 - White,Liwanag,2pcs./pack,NO SRP,,23.5,,,,23.65,,
Candles,LIWANAG Esperma #18 - White,Liwanag,4pcs./pack,76.13,74.75,74.75,0.00%,0,74.75,72,3.82%,2.75
Candles,LIWANAG Esperma #20 - White,Liwanag,2pcs./pack,NO SRP,79.5,79.5,0.00%,0,79.5,79.5,0.00%,0
Candles,LIWANAG Esperma #24 - White,Liwanag,2pcs./pack,177.71,177.5,177.5,0.00%,0,177.5,177.5,0.00%,0
Candles,LIWANAG Vigil Candle #2,Liwanag,6pcs./pack,NO SRP,,,,,,,,
Candles,MANILA WAX Sperma #02 - White,Manila Wax,10 pcs./pack,54.11,53.75,53.75,0.00%,0,53.75,53.75,0.00%,0
Candles,MANILA WAX Sperma #03 - White,Manila Wax,20pcs./pack,64.72,63.75,63.75,0.00%,0,63.75,63.75,0.00%,0
Candles,MANILA WAX Sperma #04 - White,Manila Wax,20pcs./pack,47.74,46.75,46.75,0.00%,0,46.75,46.75,0.00%,0
Candles,MANILA WAX Sperma #14 - White,Manila Wax,4pcs./pack,54.1,53.75,53.75,0.00%,0,53.75,53.75,0.00%,0
Candles,MANILA WAX Sperma #16 - White,Manila Wax,2pcs./pack,59.41,58.75,58.75,0.00%,0,58.75,58.75,0.00%,0
Candles,MANILA WAX Votive #01 - White,Manila Wax,6 pcs./pack,82.76,81.75,81.75,0.00%,0,81.75,81.75,0.00%,0
Candles,MANILA WAX Votive #01 - Yellow,Manila Wax,6 pcs./pack,82.76,81.75,82,-0.30%,-0.25,81.75,82,-0.30%,-0.25
Candles,MANILA WAX Votive #02 - White,Manila Wax,6 pcs./pack,71.09,71,71,0.00%,0,71,71,0.00%,0
Candles,MANILA WAX Votive #02 - Yellow,Manila Wax,6 pcs./pack,71.09,71,71,0.00%,0,71,,,
