MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NATIONWIDE COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
PRIME COMMODITIES (PC),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NATIONWIDE",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Battery,DURACELL AAA,DURACELL,2pcs/pack,NO SRP,,,,,,,,
Condiments - Patis,SILVER SWAN Patis (POUCH),Silver Swan,100ml,NO SRP,10,10,0.00%,0,10,10,0.00%,0
Condiments - Patis,SILVER SWAN Special Patis  (GIN Bottle) ,Silver Swan,350ml,24.5,,,,,,,,
Condiments - Patis,SILVER SWAN Special Patis  (PET Bottle) ,Silver Swan,350ml,24.5,24.5,24.5,0.00%,0,24.5,24.5,0.00%,0
Condiments - Patis,TENTAY Patis (PET Bottle),Tentay,350ml,NO SRP,,22.5,,,,22.5,,
Condiments - Patis,TENTAY Patis (PET Bottle),Tentay,385ml,NO SRP,,,,,,28.5,,
Condiments - Soy Sauce,CARP Premium Soy Sauce (PET Bottle),Carp,350ml,NO SRP,,,,,,,,
Condiments - Soy Sauce,CARP Naturally Brewed Soy Sauce (PET Bottle),Carp,350ml,NO SRP,,,,,,,,
Condiments - Soy Sauce,COCONUT Brand Premium Soy Sauce (PET Bottle),Coconut,350ml,NO SRP,54.5,54.5,0.00%,0,54.5,52,4.81%,2.5
Condiments - Soy Sauce,COCONUT Brand Premium Soy Sauce (PET Bottle),Coconut,1L,NO SRP,123.5,123.5,0.00%,0,123.5,115,7.39%,8.5
Condiments - Soy Sauce,DATU PUTI Soy Sauce (BUDGET PACK),Datu Puti,100ml,NO SRP,6.6,6.6,0.00%,0,6.6,6.6,0.00%,0
Condiments - Soy Sauce,DATU PUTI Soy Sauce (POUCH),Datu Puti,200ml,NO SRP,10,10,0.00%,0,10,10.5,-4.76%,-0.5
Condiments - Soy Sauce,DATU PUTI Soy Sauce  (GIN Bottle) - WMKT,Datu Puti,350ml,20.5,,,,,,,,
Condiments - Soy Sauce,DATU PUTI Soy Sauce  (PET Bottle) - WMKT,Datu Puti,350ml,20.5,,,,,,,,
Condiments - Soy Sauce,DATU PUTI Soy Sauce (GIN Bottle) - SMKT,Datu Puti,350ml,19.75,,,,,,,,
Condiments - Soy Sauce,DATU PUTI Soy Sauce (PET Bottle) - SMKT,Datu Puti,350ml,19.75,19.75,19.75,0.00%,0,19.75,19.75,0.00%,0
Condiments - Soy Sauce,DATU PUTI Soy Sauce (PET Bottle) - SMKT,Datu Puti,385ml,NO SRP,22,22,0.00%,0,22,22,0.00%,0
Condiments - Soy Sauce,DATU PUTI Soy Sauce (PET Bottle) - WMKT,Datu Puti,385ml,NO SRP,,,,,,,,
Condiments - Soy Sauce,DATU PUTI Soy Sauce (PET Bottle),Datu Puti,1L,NO SRP,51,51,0.00%,0,51,51,0.00%,0
Condiments - Soy Sauce,DATU PUTI Soy Sauce - Stand Up Pouch - SMKT,Datu Puti,1L,NO SRP,48,48,0.00%,0,48,48,0.00%,0
